index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
11242,Cc1cc(C(=O)c2ccccc2C)c(N)cc1Cl,1.0038421,-1.0051484,-0.1039233,0.35622221,0.17431864,-0.22473861,-1.4605557,-0.053317994,-0.64806294,-0.10212412,-0.071007706,-0.3842496,0.31047919,-0.57550287,1.0724454,-1.0248675,0.3981947,0.097744927,0.41931757,-0.61061257,44007,0
11260,CNc1nc(N2CCC(Cc3ccccc3)CC2)nc(C)[n+]1C,0.61633968,0.28074178,0.82599753,1.0875864,0.099563956,-0.14912067,0.92229068,0.56357497,-3.7859929,-1.1210794,0.93125933,-0.35634139,-0.7333194,1.0159712,-2.4842999,1.3547723,0.23379831,-2.5503004,1.6620622,0.14112294,36513,0
11263,Cc1cccc(C)c1-c1csc(NC(=O)c2cc3ccccc3[nH]2)n1,1.3107311,0.63834423,-1.0827241,0.81239867,-0.70606375,-0.6220594,0.38585413,-0.64374882,-0.12618691,-0.096409366,0.82859433,-0.40323856,1.1748434,1.170318,-0.081977606,-0.2674399,0.22884017,-0.66009098,0.043854583,-0.58086979,47997,0
11266,Cc1ccc(-c2csc(NC(=O)c3cc4ccccc4[nH]3)n2)cc1,1.0590613,0.72332859,-1.3237733,0.835967,-0.21196605,-0.42769691,0.6680699,-0.44628924,0.07743191,-0.22205815,0.73311001,0.13968065,0.94437873,0.73073655,-0.44280383,-0.62909949,-0.3351374,-0.98236078,-0.17822291,0.087011069,44902,0
11279,Cc1ccc(C(=O)c2sc3nn4ccccc4c3c2N)cc1,1.0403949,0.47389689,-0.58859366,0.85146648,0.20011139,-0.62104303,0.54385126,-0.70459658,0.45942137,0.61630303,0.15793134,-0.92279059,0.031544358,0.022439469,1.1359962,-1.4277803,0.27065927,-0.11800292,0.70105892,0.39793876,44620,0
11280,Cc1cccn2nc3sc(C(=O)c4ccc(Cl)cc4)c(N)c3c12,0.96915221,0.66244626,-0.26753074,-0.85856622,0.46547583,-1.0241854,0.074337885,1.4599473,0.83092439,0.92752904,0.47666964,-1.0340356,0.32441136,-0.15926422,0.91864568,-1.3085594,0.98082948,0.57610548,0.982292,0.43880543,43440,0
11292,O=C1CCC(c2cccc(F)c2)(c2cccc(F)c2)[C@H]2CNC[C@H]12,1.0104028,1.4979243,0.63242936,-1.5325332,0.2417988,0.99972689,0.64866221,0.46008492,-1.918787,0.8617689,-0.67898554,0.79089689,-0.33251429,-2.0544369,2.1410708,0.82877946,-0.28452623,-1.2860838,-0.53626519,-1.3943025,44119,0
11298,CN1[C@H]2CC[C@@H]1CC(n1cc3c4c(cccc4c1=O)CC3)C2,1.4257281,1.1649419,0.51805365,0.13664705,0.25923252,1.7309371,2.0538151,-0.21193282,-0.45713708,0.86808974,-1.3791826,-0.23677608,0.36704341,0.20604342,-1.1073599,0.029064938,-0.71140236,0.69346702,0.21288383,0.68896812,48984,0
11300,CN1[C@H]2CC[C@@H]1CC(n1cc3c4c(cccc4c1=O)CCC3)C2,1.4406774,1.4221808,0.6645174,-0.74928832,0.32378507,1.3820766,1.7068219,-0.12481121,-0.5936439,1.046152,-1.1110554,-0.42919424,0.066655651,0.30925676,-0.75658172,0.19545102,-0.86126667,0.42165971,0.22287968,0.41412801,49109,0
11304,O=S(=O)(c1cc2ccccc2c2ccccc12)N1CCCNCC1,0.73153871,0.57535511,0.15345143,-2.0060108,-0.47318584,1.0433757,3.3782361,-0.30130789,0.31452027,-0.33349964,-0.006908464,2.0538967,1.2727782,0.99544221,-0.14960992,0.37883696,0.91071808,0.95688736,-0.005935056,-1.1946236,38970,0
11345,CC(C)Oc1ccccc1O[C@@H](Cc1ccccc1)C1=NCCN1,1.1726876,0.41708434,0.46286705,0.85219169,0.51946598,-0.32169104,-0.39905062,-0.19573924,0.1966064,-1.2407196,-0.18457162,0.12818439,0.06979683,0.36824977,0.074830242,-0.41275689,0.95829874,0.73010856,0.7124961,0.093231507,46489,0
11370,Cc1cccc(-n2nc(Oc3ccc(Cl)cc3)oc2=O)c1C,0.71236962,-0.078711793,-1.5252233,0.39285803,-1.3176991,0.079780377,-0.069236524,-0.52453566,-0.63501376,0.033075299,1.162008,0.2274524,0.97015387,0.67785817,-2.3477252,0.014534487,-2.52139,-0.27959192,-0.29976842,-0.23651904,38581,0
11372,FC(F)(F)c1cccc(OC[C@@H]2CNCC[C@H]2c2cccs2)c1,0.67589039,-0.095070265,0.10953086,-2.8527639,0.42541423,-0.81744498,2.0952108,0.2362316,-0.37955242,-0.56124109,-0.49698907,0.8969211,0.79596114,1.0638746,-0.16064887,2.2943959,-0.58021414,-0.42014042,-0.22237852,1.153466,37779,0
11391,CCO[C@H](c1ccc(Cl)s1)c1ccccc1CN(C)C,1.5732914,-1.3406954,0.8464579,-0.47891062,-0.040362112,-0.15821269,-0.72630352,-0.29936406,-0.36885479,0.42204121,0.77047253,1.411208,1.5509123,-1.3382862,-0.46839383,1.290717,-0.69663918,-0.53932971,0.59464687,-0.33454743,49893,0
11432,O=C(CCN1CC=C(c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,1.3367058,0.51815921,-0.16721345,-0.69960606,0.58323783,-0.10118401,-0.51372319,0.14000361,-1.7273031,0.32800448,0.01802201,1.1606354,-0.12150685,0.57711124,1.3701808,0.098279782,-0.40315416,0.25472975,0.72625399,-0.12973063,48266,0
11453,CN1[C@H]2CC[C@@H]1CC(OC(=O)n1c(=O)n3c4c(cccc41)CCC3)C2,0.82191867,1.3701427,0.29005271,0.20200233,-0.73020458,1.4252385,1.6635547,-0.13297188,-1.087134,1.9792023,-0.61979884,-0.049352821,1.0577505,0.35933369,-1.8421267,0.31773639,0.034224235,-0.041749094,-0.55678004,0.41604415,40729,0
11455,CN(C)CCc1c[nH]c2ccc(-c3nc(Cc4ccccc4)no3)cc12,1.4471447,0.81532109,0.39706308,0.47032806,0.39935195,-0.5173099,0.076084487,-0.50495666,-0.36964265,0.69482714,0.65629679,0.35546649,1.0202417,2.2011435,0.029848302,0.12009951,-0.3004984,0.95912123,-0.48577687,0.48883471,49149,0
