index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
51131,O=C1[C@@H](NC(COC2=CC=CC=C2)=O)[C@H](N(OC(C)(C)[Si](C)(C)C)C(C3=CC=CC=C3)=O)N1,-0.066285551,0.32567388,-0.090321727,1.0481375,0.95154178,-0.56528914,-0.049208395,0.83431035,0.83269751,-1.2876121,1.2891501,-0.032274675,1.5807596,1.5757318,1.1610949,-0.23547155,1.6857421,-0.00019473,-2.5007694,1.6624445,21292,2
51132,O=C1[C@@H](NC(COC3=CC=CC=C3)=O)[C@H](N(OCC2=CC=CC=C2)C(C4=CC([H])=CC([H])=C4)=O)N1,-2.0190892,-0.52261883,0.89122599,0.35919845,0.55292368,-1.0056307,1.5080322,-0.39536393,-0.30875757,-1.0783869,-0.82560539,0.69151974,0.44135177,-2.6764846,-1.4418089,0.25175819,-1.7678726,4.6666403,-1.2167141,-2.4092975,2177,1
51133,O=C1[C@@H](NC(COC3=CC=CC=C3)=O)[C@H](N(OCC2=CC=CC=C2)C(C4=CC([H])=CC([H])=C4)=O)N1SC,-1.8955843,-0.62004977,0.75667793,0.69028246,0.38116533,-0.90177411,1.523729,-0.35669798,-0.45298639,-1.2001332,-0.8243438,0.42216972,-0.26177251,-2.2737765,-1.4384451,0.73823118,-0.92731398,4.9355373,-1.5388304,-2.375855,2561,2
51134,O=C1[C@@H](NC(COC3=CC=CC=C3)=O)[C@H](N(OCC2=CC=CC=C2)C(C4=CC(C(F)(F)F)=CC([N+]([O-])=O)=C4)=O)N1SC,-1.1794285,-0.96623367,1.783757,1.4051198,-1.1674073,-1.6924603,0.82553375,-0.71427268,-0.12714989,-0.69578803,-0.72659278,-0.85296148,0.49469203,-1.6832595,-0.17887932,1.3338506,-0.85076755,4.1759892,-1.5205227,-1.3077281,6269,2
51135,O=C(NC3=CC=CC=C3)CSC1=NN=C(C2=CC=CC=C2)N1,-1.1742197,-0.96545631,1.7765254,1.3928499,-1.1614621,-1.6845003,0.81249952,-0.7146824,-0.11848629,-0.67174721,-0.70005685,-0.93945533,0.38797319,-1.5907402,-0.12549396,1.434863,-0.77579468,4.2101097,-1.5016532,-1.3329847,6306,2
51136,O=C(NC3=CC=CC=C3)CSC1=NN=C(C2=CC=CC=C2O)N1,-2.5935729,0.25185773,-0.2945061,-0.98656458,0.61282176,0.2451579,-2.0345402,-0.40712824,-0.046445943,-0.92788774,0.24096486,1.0592709,-0.88582242,-0.23524714,-1.519745,-1.2059721,-0.092107765,1.4683652,0.11152935,-0.68020487,836,2
51137,O=C(NC3=CC=CC=C3)CSC1=NN=C(C2=CC=C(O)C=C2)N1,-2.1728156,0.075343601,0.16060802,-1.0062952,0.070758514,0.030633418,-2.4063804,1.2109383,0.43898532,-0.99180877,-0.090086564,0.42954227,-0.13102829,0.45886433,-1.046641,-1.0967085,0.66326565,2.6503243,0.031631306,-0.18558843,1753,2
51138,O=C(NC3=CC=CC=C3)CSC1=NN=C(C2=CC=CC=C2N)N1,-1.6318146,0.11221409,0.35316709,-0.58350545,-0.59345663,-0.5165363,-2.6514449,-0.41219157,-0.36044031,-1.074905,-0.53284645,-0.31958693,0.97375709,-0.044474777,0.22384456,-0.3187466,-0.25752908,0.41352171,0.88472646,0.15964581,3623,2
51139,O=C(NC3=CC=CC=C3C)CSC1=NN=C(C2=CC=CC=C2)N1,-1.2996759,0.14104523,0.2248176,-0.3420397,-0.94047278,-0.67672455,-2.7621193,-0.59335715,-0.45562607,-1.397626,-0.94105583,-0.031397026,0.80517399,-0.1520022,0.12750943,-0.071256861,-0.017804697,0.32621753,0.62421656,0.28622949,5449,2
51140,O=C(NC3=CC=CC=C3C)CSC1=NN=C(C2=CC=CC=C2O)N1,-0.84258777,1.0166923,-0.15653707,-1.0733138,-0.36223912,0.081406318,-2.4199398,1.314527,0.56084156,-1.0893774,0.57443029,-0.38797906,0.63844967,0.68701148,-0.17992438,-0.053936727,0.9504059,1.6397455,1.1213371,-0.024994554,9391,2
51141,O=C(NC3=CC=CC=C3C)CSC1=NN=C(C2=CC=C(O)C=C2)N1,0.69221801,1.206413,-0.24234468,-0.75370705,-2.3105149,-0.60861164,0.85667509,0.93477827,1.2180091,-0.11075623,2.7061868,1.56339,0.99885303,0.74322701,0.78306776,-0.24786909,1.4842491,0.96824789,0.559497,-1.372625,38128,2
